Name,Team,PA,AB,H,HR,R,BB,HBP,OBP,SLG
José Fermín,STL,17.263,15.0909,3.7571,0.3331,1.885,1.7332,0.2417,0.333467,0.371522
Kyle Stowers,MIA,29.8657,26.2472,6.1438,1.2223,3.7401,2.882,0.4181,0.317492,0.434065
Amed Rosario,NYY,13.2902,12.3875,3.2364,0.3181,1.4164,0.6592,0.1063,0.30206,0.394777
Christian Moore,LAA,20.9272,18.5022,4.0709,0.5086,2.0585,1.9881,0.1883,0.299838,0.357644
Josh Bell,MIN,29.1339,25.8058,6.4342,1.0298,3.3401,2.8406,0.2331,0.326838,0.419092
Connor Norby,COL,23.556,21.0857,5.4141,0.7159,2.8463,1.9057,0.3062,0.325007,0.420503
Mark Vientos,NYM,21.4421,19.512,4.7831,1.0623,2.6095,1.5138,0.2144,0.304369,0.456565
Salvador Perez,KCR,28.4572,26.3641,6.4975,1.1501,3.1661,1.346,0.5122,0.294074,0.424835
Moisés Ballesteros,LAA,25.9586,23.357,5.8714,0.7652,2.7253,2.1598,0.1817,0.317174,0.398681
TJ Rumfield,COL,30.2107,26.616,7.2909,0.8056,3.5481,2.9516,0.3927,0.352452,0.426612
Kyle Isbel,KCR,20.4448,18.7193,4.5152,0.4001,2.1158,1.2553,0.2044,0.293842,0.368208
Jose Trevino,CIN,13.4559,12.5001,2.9952,0.367,1.3212,0.6984,0.0942,0.282815,0.373309
Trent Grisham,NYY,9.1821,7.8105,1.7546,0.3768,1.206,1.1909,0.0735,0.330498,0.418949
Ryan Kreidler,MIN,19.692,17.4381,3.7019,0.485,2.053,1.7998,0.2166,0.291772,0.351638
Turner Hill,SFG,20.3389,18.1275,4.782,0.2658,2.0495,1.7715,0.2441,0.335169,0.379175
