Name,Team,PA,AB,H,HR,R,BB,HBP,OBP,SLG
Yordan Alvarez,HOU,474,404,114,24,63,59,6,0.377637,0.522277
Steven Kwan,CLE,643,574,160,10,83,58,5,0.348437,0.388502
Michael Busch,CHC,581,510,131,27,82,59,9,0.342513,0.480392
Jeremy Peña,HOU,588,538,143,16,71,34,11,0.320819,0.410781
Gabriel Moreno,ARI,380,338,93,9,44,36,3,0.347368,0.411243
Matt Chapman,SFG,509,444,106,19,68,56,6,0.330059,0.43018
James Wood,WSN,650,563,149,28,90,81,3,0.358462,0.484902
Will Smith,LAD,468,398,99,16,61,54,9,0.346154,0.422111
JJ Wetherholt,STL,542,474,121,11,69,55,10,0.343173,0.373418
Brice Turang,MIL,610,547,143,14,80,55,1,0.327842,0.391225
Dansby Swanson,CHC,564,511,122,17,71,47,3,0.304965,0.391389
Andy Pages,LAD,597,542,141,24,75,38,10,0.317114,0.45572
Kevin McGonigle,DET,425,371,94,14,61,46,2,0.334906,0.447439
Austin Riley,ATL,535,481,126,24,71,43,7,0.328972,0.471933
Trent Grisham,NYY,513,436,96,23,68,68,5,0.330724,0.422018
Matt Wallner,MIN,508,435,105,24,64,57,14,0.346457,0.478161
Jakob Marsee,MIA,648,552,133,16,82,76,8,0.339593,0.398551
Alex Freeland,LAD,599,519,120,18,76,67,8,0.326087,0.393064
Jordan Westburg,BAL,470,433,111,19,68,29,7,0.312766,0.450346
Matt Shaw,CHC,547,484,121,18,72,50,7,0.326007,0.419421
Isaac Paredes,HOU,547,468,111,22,61,63,13,0.341865,0.42735
Francisco Alvarez,NYM,465,409,96,22,57,47,7,0.322581,0.442543
Kyle Teel,CHW,514,451,112,13,67,56,4,0.335283,0.381375
Ezequiel Tovar,COL,564,523,141,19,71,30,3,0.310714,0.455067
Colt Emerson,SEA,607,538,126,11,72,52,12,0.313015,0.360595
Brendan Donovan,SEA,544,477,125,11,65,51,11,0.344383,0.387841
Dillon Dingler,DET,417,380,92,13,47,28,7,0.304556,0.405263
Andrés Giménez,TOR,512,459,115,11,59,30,16,0.316306,0.374728
Brent Rooker,ATH,609,541,145,31,77,58,6,0.343186,0.502773
Jackson Holliday,BAL,647,573,143,19,89,66,6,0.332303,0.404887
Anthony Volpe,NYY,614,556,129,18,73,47,5,0.295752,0.399281
